run_id,condition,seed,epoch,epoch_1based,mean_loss,mean_partial_bce,mean_partial_dice,labelled_voxels_seen,foreground_voxels_seen,zero_label_microbatches,foreground_centered,background_centered,random_centered,optimizer_steps_total,epoch_seconds,peak_allocated_gb,peak_reserved_gb
gateb_pl_complete_seed17,complete,17,0,1,0.664078017398715,0.3689502217620611,0.295127791762352,10768,6111,1,53,29,18,50,10.465720900000633,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,1,2,0.35938219014555217,0.20170612504705787,0.15767606496810913,10446,6063,0,58,24,18,100,10.474826797999413,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,2,3,0.26660734427161514,0.14704858588753267,0.11955875933170318,10392,5968,0,65,13,22,150,10.286629290000747,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,3,4,0.15475393664557488,0.06959086429560557,0.0851630711555481,10476,5821,0,61,18,21,200,10.141555189000428,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,4,5,0.142086505566258,0.08524732502351981,0.05683917760848999,10944,6282,1,63,17,20,250,10.066991269999562,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,5,6,0.08454833296418655,0.032046858016983606,0.05250147581100464,10539,6243,0,61,22,17,300,9.993032708999635,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,6,7,0.1162207704782486,0.05668166145449504,0.05953910946846008,10612,6420,0,53,24,23,350,10.045073915000103,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,7,8,0.11356685739941895,0.042766205342340984,0.07080065310001374,10493,6129,0,58,13,29,400,10.138133016999745,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,8,9,0.15576643790933303,0.08158808692067396,0.07417835175991058,10740,6284,0,64,22,14,450,10.163874167000358,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,9,10,0.10514128430280835,0.04757602455909364,0.057565259337425234,10435,6197,1,61,17,22,500,10.152390631000344,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,10,11,0.07608635682961903,0.046572719404066446,0.02951363742351532,11066,6524,1,56,19,25,550,10.1430673750001,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,11,12,0.05847065809182823,0.028754225356387907,0.029716432094573975,10951,6321,1,62,16,22,600,10.139175584999975,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,12,13,0.0460394148202613,0.02331933688299614,0.02272007882595062,10802,6219,0,60,19,21,650,10.14200313299989,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,13,14,0.03754765869205585,0.017851961401756853,0.019695696830749513,10580,6202,1,59,20,21,700,10.120184119999976,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,14,15,0.02552195519063389,0.009648598351486726,0.01587335705757141,10194,6189,0,58,20,22,750,10.125219460000153,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,15,16,0.040643548566149545,0.0059087421862932385,0.03473480641841888,10810,6353,0,60,21,19,800,10.099987101999432,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,16,17,0.05778100736577471,0.004567126482379535,0.05321388125419617,10982,6455,0,56,27,17,850,10.110429779000697,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,17,18,0.03445653357710398,0.002606508740263962,0.03185002565383911,10955,6436,0,57,25,18,900,10.066270387998884,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,18,19,0.04729644935054239,0.003938379590254044,0.04335806906223297,10863,6365,0,62,18,20,950,10.12313987000016,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,19,20,0.05525424064835534,0.03033939326327527,0.024914848208427428,10597,6126,0,60,20,20,1000,10.141157804999239,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,20,21,0.04907852184117928,0.011700171494007918,0.037378351092338565,10373,6003,0,57,23,20,1050,10.144818218999717,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,21,22,0.027082690598581392,0.004105771653084958,0.022976919412612914,10707,6349,0,63,14,23,1100,10.081640485999742,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,22,23,0.014193833105528028,0.0020872137185688187,0.012106619477272033,10760,5960,0,55,24,21,1150,10.064435586999025,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,23,24,0.048526104207048774,0.0013362392411158908,0.04718986511230469,10174,5812,0,57,18,25,1200,9.867367127999387,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,24,25,0.02411949822979295,0.0027067749032221398,0.021412723064422608,10613,6492,0,66,17,17,1250,9.866809629000272,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,25,26,0.012752544790955653,0.0015242104714252491,0.011228334307670593,10295,6066,1,59,23,18,1300,9.824250784999094,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,26,27,0.013716197707944957,0.0020418001259804443,0.011674397587776185,10747,6131,0,68,18,14,1350,9.83730633400046,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,27,28,0.03084351009945749,0.0010151856408424464,0.02982832431793213,10440,5854,0,55,24,21,1400,9.791990787000032,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,28,29,0.011509890887027722,0.0007779319565952392,0.010731959342956543,10406,6053,0,52,24,24,1450,9.783416625001337,0.907261848449707,1.224609375
gateb_pl_complete_seed17,complete,17,29,30,0.009161151390544546,0.006409397444504066,0.0027517539262771605,10617,6182,2,61,16,23,1500,9.798936426999717,0.907261848449707,1.224609375
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,0,1,0.6788357568532228,0.3679161548055708,0.3109196013212204,9478,4828,1,53,29,18,50,10.137178476999907,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,1,2,0.34956415481865405,0.19122761508449912,0.15833654284477233,9199,4860,0,58,24,18,100,10.123457210000197,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,2,3,0.2520816617272794,0.13693620287813246,0.11514545857906341,9141,4670,0,65,13,22,150,10.144832502999634,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,3,4,0.14226987357717008,0.06318429481063503,0.07908557832241059,9365,4734,0,61,18,21,200,10.141601319999609,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,4,5,0.11929936540545896,0.062099273137864654,0.0572000926733017,9670,4928,1,63,17,20,250,10.14691855899946,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,5,6,0.17682914944627556,0.09247192494258342,0.08435722470283508,9670,5204,0,61,22,17,300,10.153089538000131,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,6,7,0.16605096711893566,0.0825296745763626,0.08352129399776459,9925,5345,0,53,24,23,350,10.149419911000223,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,7,8,0.12729625613894313,0.0507240241888212,0.07657223105430604,9244,4969,0,58,13,29,400,10.139662348999991,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,8,9,0.072785234056646,0.030107288935541873,0.0426779443025589,9587,5052,0,64,22,14,450,10.124747032999949,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,9,10,0.07621833650337066,0.02773133713111747,0.04848700046539307,9191,4932,1,61,17,22,500,10.125204211999517,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,10,11,0.03305491007267847,0.019684217111207544,0.0133706933259964,10068,5389,1,56,19,25,550,10.110549523000373,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,11,12,0.03215565905557014,0.011861463904133417,0.02029419481754303,10008,5209,1,62,16,22,600,10.13697812800092,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,12,13,0.04783871261388413,0.02278250827534066,0.025056204199790953,9772,5079,0,60,19,21,650,10.153389581000738,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,13,14,0.04961064670467749,0.02354554875397298,0.02606509804725647,9510,5158,1,59,20,21,700,10.117902113999662,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,14,15,0.03452443698784918,0.015112997116229963,0.019411439895629882,9195,5040,0,58,20,22,750,10.138317522998477,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,15,16,0.03792609486437868,0.004042759731928527,0.033883334398269654,9790,5298,0,60,21,19,800,10.108445845999086,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,16,17,0.05776425779069541,0.004437373411583394,0.05332688391208649,9905,5216,0,56,27,17,850,10.138457367000228,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,17,18,0.03686549092726636,0.004371301210940146,0.0324941897392273,9823,5285,0,57,25,18,900,10.138615002999359,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,18,19,0.04405925493250834,0.001956294128076479,0.04210296034812927,9476,5081,0,62,18,20,950,10.062378763001107,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,19,20,0.014465648415280157,0.0026033271696360317,0.011862321496009827,9511,4991,0,60,20,20,1000,10.068219543998566,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,20,21,0.03467101878610265,0.0025285403036468777,0.03214247763156891,9411,4909,0,57,23,20,1050,9.998684270000012,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,21,22,0.023511131220275275,0.001985589642790728,0.02152554154396057,9635,5226,0,63,14,23,1100,10.028287024999372,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,22,23,0.015521444837468153,0.003536781501479709,0.011984663605690003,9497,4786,0,55,24,21,1150,10.040827456999978,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,23,24,0.05316041381287505,0.0025152803868263617,0.05064513325691223,9496,5026,0,57,18,25,1200,9.94413836700005,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,24,25,0.028262095668505936,0.0058467275139923915,0.022415368556976317,9737,5337,0,66,17,17,1250,9.878818052000497,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,25,26,0.012367318197329951,0.0012443900412699804,0.011122928261756896,9446,5002,1,59,23,18,1300,9.864243385000009,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,26,27,0.012050874503511295,0.0008565187229214644,0.011194356083869934,9545,4926,0,68,18,14,1350,9.846177508999972,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,27,28,0.026231875109801878,0.0006187148285141575,0.025613160133361818,9543,4861,0,55,24,21,1400,9.813609291999455,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,28,29,0.01184172753549774,0.000791911488427104,0.011049816608428955,9302,4842,0,52,24,24,1450,9.814702116000262,0.9124717712402344,1.228515625
gateb_pl_complete_fixed_50_seed17,complete_fixed_50,17,29,30,0.0031010818274830854,0.0017205613437249667,0.0013805204629898072,9778,5172,2,61,16,23,1500,9.824918025000443,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,0,1,0.7131415366381407,0.3727492332831025,0.34039230525493624,9473,5014,1,53,29,18,50,10.136275913000645,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,1,2,0.32613295167684553,0.1431433205126086,0.18298963069915772,9591,5109,0,58,24,18,100,10.140872624999247,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,2,3,0.20889562358614058,0.07784765717573464,0.13104796588420867,9441,5241,0,65,13,22,150,10.155437737001193,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,3,4,0.1675109371135477,0.03889848196064122,0.1286124551296234,9812,5138,0,61,18,21,200,10.142076037000152,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,4,5,0.18619207134470345,0.043897901026066395,0.14229417085647583,10055,5293,1,63,17,20,250,10.145692666999821,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,5,6,0.1963393036276102,0.03178586186259054,0.16455344080924988,10115,5555,0,61,22,17,300,10.142176135999762,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,6,7,0.1303717211424373,0.0395422210014658,0.09082950055599212,9915,5439,0,53,24,23,350,10.135290508998878,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,7,8,0.20242356614442542,0.04883738319360418,0.15358618378639222,9420,5435,0,58,13,29,400,10.149144521999915,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,8,9,0.14529791098320857,0.030866654455894604,0.11443125426769257,9700,5231,1,64,22,14,450,10.1273451750003,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,9,10,0.14092125885770657,0.05074934924719855,0.09017190992832184,9853,5393,1,61,17,22,500,10.130336271000488,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,10,11,0.12839086749881973,0.0172666331569053,0.11112423479557038,10213,5482,2,56,19,25,550,10.129774746999828,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,11,12,0.10826363703003153,0.010453290647856193,0.09781034708023072,9486,5127,1,62,16,22,600,10.094229180000184,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,12,13,0.09044565600081114,0.006166745934897335,0.08427891135215759,9589,5130,0,60,19,21,650,10.145307059001425,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,13,14,0.08817726006906014,0.012627943362167571,0.0755493175983429,10092,5704,1,59,20,21,700,10.12563889699959,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,14,15,0.05995524719401146,0.01701463557430543,0.04294061064720154,9521,5456,1,58,20,22,750,10.087835176000226,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,15,16,0.14119788864656585,0.005953330736538191,0.13524455964565277,9507,5101,0,60,21,19,800,10.126016801999867,0.9124717712402344,1.228515625
gateb_pl_component_fixed_50_seed17,component_fixed_50,17,16,17,0.10317403797263978,0.002525979224652701,0.1006480598449707,9631,5392,0,56,27,17,850,9.973014133000106,0.9124717712402344,1.228515625
