run_id,condition,cache_version,seed,epochs,microbatches_per_epoch,accumulation_steps,optimizer_steps,checkpoint_selection,dense_training_access,dense_development_evaluation,final_outer_cv_cases_used,config_sha256,cache_manifest_sha256,authorization_commit,final_model_sha256,final_mean_loss,final_mean_partial_bce,final_mean_partial_dice,fit_seconds_this_session,peak_allocated_gb,peak_reserved_gb
gateb_v1_2_complete_seed17,complete,1.2,17,30,100,2,1500,FINAL_EPOCH_ONLY,False,False,0,374ca89444c11ec2cc8cf8c57dcadbe1200c88cc957980cec534fdb2ef1c717c,7cfcb6d0f9846e63da2af7b058541bfda004fa0683aa4ef10e8bd6b210ba01ed,ff52ef34703501719a0e62eb54dd01aefef2fd19,5ee739861e16494708401d96ad65c554dc7b9a64fbf01459f7cb014cf89c371d,0.011473385468343622,0.0008863881323486567,0.010586997270584106,307.8479485530006,0.9124717712402344,1.228515625
gateb_v1_2_pixel_dropout_matched_50_seed17,pixel_dropout_matched_50,1.2,17,30,100,2,1500,FINAL_EPOCH_ONLY,False,False,0,374ca89444c11ec2cc8cf8c57dcadbe1200c88cc957980cec534fdb2ef1c717c,7cfcb6d0f9846e63da2af7b058541bfda004fa0683aa4ef10e8bd6b210ba01ed,ff52ef34703501719a0e62eb54dd01aefef2fd19,b9b09bb4f7f135150eb6065cca957e7f9b2bcb763b71cea09843be29cd39e6c3,0.010248774659186494,0.00016679668467673993,0.01008197784423828,304.8772851249996,0.9124717712402344,1.228515625
gateb_v1_2_component_natural_50_seed17,component_natural_50,1.2,17,30,100,2,1500,FINAL_EPOCH_ONLY,False,False,0,374ca89444c11ec2cc8cf8c57dcadbe1200c88cc957980cec534fdb2ef1c717c,7cfcb6d0f9846e63da2af7b058541bfda004fa0683aa4ef10e8bd6b210ba01ed,ff52ef34703501719a0e62eb54dd01aefef2fd19,e502b5b3eca2a4134f6682948e17169c5cecdeea237e73cfacbbf1742a6cc5e5,0.15235340735176578,0.02214637388999108,0.13020703256130217,302.6693570390016,0.9124717712402344,1.228515625
gateb_v1_2_component_fixed_50_seed17,component_fixed_50,1.2,17,30,100,2,1500,FINAL_EPOCH_ONLY,False,False,0,374ca89444c11ec2cc8cf8c57dcadbe1200c88cc957980cec534fdb2ef1c717c,7cfcb6d0f9846e63da2af7b058541bfda004fa0683aa4ef10e8bd6b210ba01ed,ff52ef34703501719a0e62eb54dd01aefef2fd19,9ed1f3a3b948ec47f5da9f07ac9dbdebd272fe078d4ebb645f5d8b86784f2358,0.10132552047327409,0.0004149383429252396,0.10091058194637298,305.70494316700024,0.9124717712402344,1.228515625
