batch_id,run_id,condition,outer_fold,seed,initialization_seed,shared_initialization_sha256,paired_plan_sha256,epoch,epoch_1based,logical_microbatches,successful_optimizer_steps_total,mean_loss,mean_partial_bce,mean_partial_dice_fp32,labelled_voxels_seen,foreground_voxels_seen,zero_label_microbatches,foreground_centered,background_centered,uniform_crop,amp_overflow_events,amp_retry_attempts,amp_scale_min,amp_scale_max,amp_scale_end,mean_preclip_grad_norm,max_preclip_grad_norm,learning_rate_end,epoch_seconds,peak_allocated_gb,peak_reserved_gb
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,10,11,120,660,0.2211030561570908,0.1012870819569173,0.11981597493092219,8513,4499,1,75,24,21,0,0,1024.0,1024.0,1024.0,4.444394822542866,33.04670715332031,0.0002586345852084849,26.101090714999373,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,11,12,120,720,0.2135588588759371,0.08516887722689717,0.12838998089234036,8193,4040,1,59,37,24,0,0,1024.0,1024.0,1024.0,4.769465637703736,17.839033126831055,0.0002498568710810032,26.00699256000007,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,12,13,120,780,0.1578161015475731,0.06641062821287823,0.0914054736495018,8213,4327,3,64,25,31,0,0,1024.0,1024.0,1024.0,3.1960440409680206,9.777850151062012,0.0002404189072956492,25.82356264700138,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,13,14,120,840,0.16267806742617286,0.06110956084109773,0.10156850665807723,8207,4265,4,59,31,30,0,0,1024.0,1024.0,1024.0,3.303449567888553,19.113548278808594,0.00023038404898248976,25.841139006000958,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,14,15,120,900,0.2267164785977928,0.08751003803763689,0.13920643975337346,8061,4162,0,61,36,23,0,0,1024.0,1024.0,1024.0,4.585908492282033,26.020673751831055,0.00021981965810307605,25.977689469000325,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,15,16,120,960,0.1353852802814089,0.04940182195819496,0.08598345865805944,8276,4364,2,71,21,28,0,0,1024.0,1024.0,1024.0,3.6442964696635802,16.742645263671875,0.00020879665126330557,25.886548787999345,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,16,17,120,1020,0.15671364194800858,0.04490892888257818,0.11180471231540044,8277,4274,0,66,29,25,0,0,1024.0,1024.0,1024.0,3.1329826614664245,14.230561256408691,0.00019738902366467966,25.857140317000813,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,17,18,120,1080,0.17104874989415275,0.04100353917618342,0.1300452118118604,8505,4426,0,62,23,35,0,0,1024.0,1024.0,1024.0,3.0800736868133147,23.594234466552734,0.00018567335238957547,25.878680101999635,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,18,19,120,1140,0.14850229121142078,0.044348412171592064,0.10415387849013011,8233,4357,3,61,26,33,0,0,1024.0,1024.0,1024.0,3.853784064265589,30.549285888671875,0.0001737282823548769,25.886364899999535,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,19,20,120,1200,0.15843668887998016,0.05762318533556936,0.10081350157658259,7854,3916,0,58,38,24,0,0,1024.0,1024.0,1024.0,4.956407746300101,61.02800750732422,0.00016163399838465363,25.861724059001062,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,20,21,120,1260,0.1563317323699257,0.028990658146736358,0.12734107474486034,7710,3956,0,64,30,26,0,0,1024.0,1024.0,1024.0,2.567333218486359,23.262943267822266,0.00014947168694575625,25.819783572000233,1.3336772918701172,1.361328125
