condition,voxel_threshold,fp_total,fp_per_patient,macro_recall,pooled_recall,true_positives,eligible_references,mean_prediction_components
component_fixed_50,0.4,1478,369.5,0.007575757575757576,0.012195121951219513,1,82,369.75
component_fixed_50,0.5,7631,1907.75,0.016504329004329004,0.024390243902439025,2,82,1908.25
component_fixed_50,0.6,3120,780.0,0.016504329004329004,0.024390243902439025,2,82,780.5
component_fixed_50,0.7,2504,626.0,0.0638944388944389,0.06097560975609756,5,82,627.25
component_fixed_50,0.8,2105,526.25,0.10447885447885448,0.12195121951219512,10,82,528.75
component_fixed_50,0.85,2107,526.75,0.14912171162171162,0.18292682926829268,15,82,530.75
component_fixed_50,0.9,1828,457.0,0.15805028305028307,0.1951219512195122,16,82,461.0
component_fixed_50,0.925,1682,420.5,0.20580461205461206,0.23170731707317074,19,82,425.25
component_fixed_50,0.95,1589,397.25,0.20580461205461206,0.23170731707317074,19,82,402.0
component_fixed_50,0.96,1516,379.0,0.2638611388611389,0.2682926829268293,22,82,384.5
component_fixed_50,0.97,1431,357.75,0.2638611388611389,0.2682926829268293,22,82,363.25
component_fixed_50,0.98,1373,343.25,0.2803654678654679,0.2926829268292683,24,82,349.5
component_fixed_50,0.985,1333,333.25,0.31474775224775225,0.32926829268292684,27,82,340.25
component_fixed_50,0.99,1203,300.75,0.3491300366300366,0.36585365853658536,30,82,308.25
component_fixed_50,0.9925,1164,291.0,0.4027430902430902,0.4146341463414634,34,82,299.5
component_fixed_50,0.995,1155,288.75,0.42062104562104563,0.4268292682926829,35,82,297.5
component_fixed_50,0.9975,1122,280.5,0.502757659007659,0.5,41,82,290.75
component_fixed_50,0.999,1029,257.25,0.5220300532800533,0.4878048780487805,40,82,267.25
component_fixed_50,0.9995,954,238.5,0.4987408424908425,0.47560975609756095,39,82,248.25
component_fixed_50,1.000001,0,0.0,0.0,0.0,0,82,0.0
