case_id,source_origin,condition,threshold,dice,iou,predicted_components,eligible_reference_components,component_to_reference_ratio,fp_components,fp_volume_ml,iou_0p10_recall,iou_0p25_recall,any_overlap_recall,predicted_foreground_volume_ml,median_component_volume_ml,p90_component_volume_ml,largest_component_volume_ml,largest_component_volume_fraction,fraction_components_lt_0p1ml,fraction_components_lt_0p5ml
coronacases_004,Coronacases,complete,0.10000000149011612,0.009408217346652531,0.004726341899247622,149,8,18.625,149,13304.79230070127,0.0,0.0,0.125,13367.976501192892,0.007944112597034347,0.1166382649541045,13360.929606018584,0.9994728525163342,0.8791946308724832,0.9731543624161074
coronacases_004,Coronacases,complete,0.20000000298023224,0.009956675567785974,0.0050032456306581905,176,8,22.0,176,12514.945167335201,0.0,0.0,0.125,12577.879361930389,0.005607608892024245,0.0981331556104243,12568.802045036426,0.9992783110226484,0.8977272727272727,0.9772727272727273
coronacases_004,Coronacases,complete,0.30000001192092896,0.01042576608738702,0.005240199591288508,192,8,24.0,192,11892.294033392987,0.0,0.0,0.125,11954.94597834061,0.005607608892024245,0.10350711413194755,11913.741268202017,0.9965533336400478,0.890625,0.984375
coronacases_004,Coronacases,complete,0.4000000059604645,0.011021759133803636,0.005541417652213067,202,8,25.25,202,11172.653696054322,0.0,0.0,0.125,11234.91918328914,0.006775860744529297,0.1438351680804221,11193.917281672137,0.996350494298349,0.8762376237623762,0.9702970297029703
coronacases_004,Coronacases,complete,0.5,0.012421481998302657,0.006249555368907469,274,8,34.25,274,9841.807821822806,0.0,0.0,0.125,9903.713020186306,0.0037384059280161637,0.0997687082039315,9866.721960829327,0.9962649302053097,0.8978102189781022,0.9781021897810219
coronacases_004,Coronacases,complete,0.6000000238418579,0.03176396811568636,0.016138292156595038,634,8,79.25,634,3742.3088238050127,0.0,0.0,0.125,3803.7317678038003,0.004205706669018184,0.10874088243117018,3738.98257713056,0.9829774561862376,0.889589905362776,0.9716088328075709
coronacases_004,Coronacases,complete,0.699999988079071,0.04073801894217998,0.020792532767968695,493,8,61.625,493,2846.6003151738287,0.0,0.0,0.125,2907.113424629885,0.006074909633026266,0.16906940809453103,2839.521176248389,0.9767493597570583,0.8722109533468559,0.947261663286004
coronacases_004,Coronacases,complete,0.800000011920929,0.05101351568165628,0.02617438145010955,520,8,65.0,520,2206.8978444931918,0.0,0.0,0.125,2266.3300873353105,0.008411413338036368,0.1661721435003192,1727.6332699200377,0.7623043437380925,0.8576923076923076,0.95
coronacases_004,Coronacases,complete,0.8999999761581421,0.06893238090398894,0.03569651327707426,574,8,71.75,573,1552.386613330201,0.125,0.0,0.375,1610.0762917091233,0.006542210374028286,0.19196714440363008,985.6989488296479,0.6122063618384889,0.8466898954703833,0.9355400696864111
coronacases_004,Coronacases,pixel_dropout_matched_50,0.10000000149011612,0.008405639137191957,0.00422055781155678,76,8,9.5,76,14406.729037749983,0.0,0.0,0.125,14467.802440794498,0.015187274082565665,0.14019022230060613,14462.771481016873,0.9996522651039635,0.7894736842105263,0.9605263157894737
coronacases_004,Coronacases,pixel_dropout_matched_50,0.20000000298023224,0.008799648233684397,0.004419268119292253,115,8,14.375,115,13494.466867669544,0.0,0.0,0.125,13554.384168680823,0.013084420748056573,0.16617214350031848,13547.65270150669,0.9995033734406255,0.8434782608695652,0.9652173913043478
coronacases_004,Coronacases,pixel_dropout_matched_50,0.30000001192092896,0.009242044226099103,0.004642475093114114,155,8,19.375,155,12598.402743174458,0.0,0.0,0.125,12657.186372588061,0.007476811856032327,0.15243350171485903,12639.99391102586,0.9986416837789925,0.8580645161290322,0.967741935483871
coronacases_004,Coronacases,pixel_dropout_matched_50,0.4000000059604645,0.009710041218126108,0.0048787068312744685,200,8,25.0,200,11738.263765046124,0.0,0.0,0.125,11795.842225848686,0.007009511115030307,0.15406905430836607,11753.480011774633,0.996408716455937,0.855,0.96
coronacases_004,Coronacases,pixel_dropout_matched_50,0.5,0.017092192927913325,0.008619761779621636,2336,8,292.0,2336,6474.705043584617,0.0,0.0,0.125,6531.064784054646,0.0009346014820040409,0.009579665190541419,6442.37390721691,0.9864201505006853,0.9773116438356164,0.9948630136986302
coronacases_004,Coronacases,pixel_dropout_matched_50,0.6000000238418579,0.03386050838252364,0.017221824050066635,699,8,87.375,699,3128.5036928899667,0.0,0.0,0.125,3183.4797558658906,0.004205706669018184,0.1299096059985618,3083.3844044439984,0.96855788033913,0.8683834048640916,0.9613733905579399
coronacases_004,Coronacases,pixel_dropout_matched_50,0.699999988079071,0.04644686164307111,0.02377558139121625,720,8,90.0,720,2171.516168888224,0.0,0.0,0.125,2224.66041295942,0.006074909633026266,0.163274878906106,2056.785892859631,0.9245392604094264,0.8694444444444445,0.9555555555555556
coronacases_004,Coronacases,pixel_dropout_matched_50,0.800000011920929,0.06140889487559781,0.03167707450698176,665,8,83.125,665,1546.6458237269912,0.0,0.0,0.25,1597.6577745169946,0.008411413338036368,0.2311269464995994,566.1404553328398,0.3543565238832177,0.8390977443609022,0.9323308270676691
coronacases_004,Coronacases,pixel_dropout_matched_50,0.8999999761581421,0.08637622265074694,0.04513751536385855,636,8,79.5,634,994.7337413561809,0.25,0.125,0.375,1042.5101018154865,0.008411413338036368,0.24252908458004863,379.69680568785367,0.3642140301821805,0.8191823899371069,0.9433962264150944
coronacases_004,Coronacases,component_natural_50,0.10000000149011612,0.021893309791604205,0.011067810396666582,218,8,27.25,218,5501.459192201932,0.0,0.0,0.25,5563.0536355726645,0.0018692029640080818,0.03579523676075477,5466.207893503703,0.9825912622072012,0.9311926605504587,0.963302752293578
coronacases_004,Coronacases,component_natural_50,0.20000000298023224,0.031011183487006412,0.015749801739314128,229,8,28.625,229,3723.3836110951715,0.0,0.0,0.125,3783.0298776766704,0.0028038044460121227,0.20589270648549032,3699.116683614937,0.9778185219850105,0.868995633187773,0.9606986899563319
coronacases_004,Coronacases,component_natural_50,0.30000001192092896,0.03812229246831727,0.01943153353645088,281,8,35.125,281,2913.1486136999265,0.0,0.0,0.125,2970.9939032256025,0.005140308151022225,0.27337093348618197,2861.232435976084,0.9630556403598303,0.8291814946619217,0.9252669039145908
coronacases_004,Coronacases,component_natural_50,0.4000000059604645,0.045238724957834583,0.023142838737102954,312,8,39.0,312,2359.0920882286578,0.0,0.0,0.125,2415.163036840749,0.007476811856032327,0.3706162176887037,1550.318340250526,0.6419104286551529,0.8012820512820513,0.9102564102564102
coronacases_004,Coronacases,component_natural_50,0.5,0.05228403384341616,0.026843767136431048,339,8,42.375,339,1955.0615310546061,0.0,0.0,0.125,2009.2534633871285,0.013084420748056573,0.3652422591671792,1260.8330080116305,0.6275131689389565,0.7876106194690266,0.9085545722713865
coronacases_004,Coronacases,component_natural_50,0.6000000238418579,0.06035391855395468,0.031115943847322712,362,8,45.25,362,1612.3155968600051,0.0,0.0,0.25,1664.4672941573126,0.006542210374028286,0.34056878004227253,1032.445845756526,0.6202860515076887,0.8314917127071824,0.9281767955801105
coronacases_004,Coronacases,component_natural_50,0.699999988079071,0.07122465902803733,0.036927400260180265,342,8,42.75,342,1281.8835044915484,0.0,0.0,0.25,1331.5734614852572,0.007009511115030307,0.2613613044424301,831.0924986691293,0.624143183014564,0.8304093567251462,0.9181286549707602
coronacases_004,Coronacases,component_natural_50,0.800000011920929,0.08473705169790642,0.04424303815464449,326,8,40.75,326,988.0905940220962,0.0,0.0,0.25,1034.6262710140413,0.007476811856032327,0.44884236173244063,636.6935212093249,0.6153850323028228,0.803680981595092,0.9079754601226994
coronacases_004,Coronacases,component_natural_50,0.8999999761581421,0.10789273284385967,0.05702252441851446,315,8,39.375,314,671.2335881797482,0.125,0.0,0.625,713.1429878357734,0.012149819266052532,0.9229189634789915,320.336527159849,0.4491897594506222,0.7365079365079366,0.8698412698412699
coronacases_004,Coronacases,component_fixed_50,0.10000000149011612,0.009177829260083573,0.004610069847008237,167,8,20.875,167,12952.275108012316,0.0,0.0,0.125,13012.279794262162,0.007476811856032327,0.21832290619614397,12998.91732957321,0.9989730881213572,0.8203592814371258,0.9580838323353293
coronacases_004,Coronacases,component_fixed_50,0.20000000298023224,0.009549827062853919,0.004797822720054334,202,8,25.25,202,12144.881299122364,0.0,0.0,0.125,12203.456045104744,0.008645063708537378,0.22561279775577547,12180.39241703259,0.9981100740653378,0.7821782178217822,0.9554455445544554
coronacases_004,Coronacases,component_fixed_50,0.30000001192092896,0.009836607803977729,0.0049426131756567186,209,8,26.125,209,11512.111702235232,0.0,0.0,0.125,11569.326603061298,0.009813315561042429,0.2360803343542208,11518.031935322988,0.9955663220947762,0.8038277511961722,0.9473684210526315
coronacases_004,Coronacases,component_fixed_50,0.4000000059604645,0.010122968638485328,0.005087233270670492,200,8,25.0,200,10874.759286981094,0.0,0.0,0.125,10930.405926520356,0.009813315561042429,0.28584786327093586,10881.662253527176,0.9955405432038975,0.8,0.935
coronacases_004,Coronacases,component_fixed_50,0.5,0.013045370881333741,0.0065655101984488425,1027,8,128.375,1027,8198.48869000028,0.0,0.0,0.125,8252.734361918016,0.0009346014820040409,0.023365037050101022,8196.07741817671,0.9931347670654774,0.9600778967867576,0.98539435248296
coronacases_004,Coronacases,component_fixed_50,0.6000000238418579,0.03446174975184491,0.017532983521177478,574,8,71.75,574,2943.11847942335,0.0,0.0,0.125,2995.8374798202344,0.0028038044460121227,0.0901423129392899,2928.3228033617443,0.9774638387718745,0.9059233449477352,0.9634146341463414
coronacases_004,Coronacases,component_fixed_50,0.699999988079071,0.04599113098904153,0.023536807697459635,506,8,63.25,506,2085.252919399992,0.0,0.0,0.25,2135.83308430531,0.005140308151022225,0.23785607717002843,1705.1743290067395,0.7983649759603549,0.841897233201581,0.932806324110672
coronacases_004,Coronacases,component_fixed_50,0.800000011920929,0.057490133868232096,0.029595800191592088,341,8,42.625,341,1569.940298365201,0.0,0.0,0.375,1618.2900368337164,0.011682518525050511,0.5565551825334064,1220.8881406707778,0.75443098139535,0.7419354838709677,0.8885630498533724
