condition,threshold,macro_dice,macro_iou,mean_predicted_components,mean_component_to_reference_ratio,mean_fp_components,mean_fp_volume_ml,macro_iou_0p10_recall,macro_iou_0p25_recall,macro_any_overlap_recall,mean_predicted_foreground_volume_ml,mean_median_component_volume_ml,mean_largest_component_fraction,mean_fraction_components_lt_0p1ml,mean_fraction_components_lt_0p5ml
complete,0.10000000149011612,0.041469841684871236,0.021390811589805568,313.75,21.045673076923077,313.5,22084.954973153188,0.007575757575757576,0.0,0.11302239427239427,22578.537078934925,0.012518678351598329,0.998456073246625,0.8331036772862588,0.9678417685605032
complete,0.20000000298023224,0.04285487628442733,0.02211727233381005,404.5,27.334686147186147,404.25,20652.700086481876,0.007575757575757576,0.0,0.13087953712953715,21133.045252296302,0.017009228297860904,0.9943628285836998,0.8031840702728325,0.9442728417076951
complete,0.30000001192092896,0.04400149618977371,0.022720242306824224,439.5,29.34111721611722,439.25,19564.683637989634,0.007575757575757576,0.0,0.13087953712953715,20033.85436526065,0.016207201584011646,0.9921128144335705,0.8323025039893197,0.9535548773516382
complete,0.4000000059604645,0.04555761021663146,0.02354204134573879,452.5,29.977106227106226,452.25,18344.779405769918,0.007575757575757576,0.0,0.13845529470529472,18802.46785200263,0.016936376333471902,0.9915395433692343,0.8164379448846797,0.9486729627932282
complete,0.5,0.05285741523525375,0.027464658290961494,709.0,47.98740842490842,708.75,15276.959259878591,0.007575757575757576,0.007575757575757576,0.1116487678987679,15724.028891890226,0.008379914172227805,0.9907814574408484,0.8646339141938331,0.9692836697519305
complete,0.6000000238418579,0.1327095157647458,0.0737226236127875,944.5,64.59929653679654,943.75,5536.276371367617,0.02408008658008658,0.02408008658008658,0.14738386613386614,5971.571489846648,0.013505782951486283,0.955493935916049,0.8224590959748983,0.9504382499758701
complete,0.699999988079071,0.1602976023944136,0.09088469856647712,758.25,51.08005536130536,757.0,4224.625641300043,0.05223942723942724,0.015151515151515152,0.20370254745254746,4643.9163980146295,0.01693703143904217,0.8866991964557961,0.8025232711068792,0.9386130314518373
complete,0.800000011920929,0.18891731176039545,0.10918403297429724,750.5,51.15047452547453,748.25,3230.9654162330908,0.0969030969030969,0.05223942723942724,0.20097610722610723,3632.9396431824794,0.018587023404312987,0.6717147341327404,0.8008745625548245,0.9322597369141753
complete,0.8999999761581421,0.2293138609920832,0.1357628059141895,720.25,50.21861471861472,716.25,2254.602407934268,0.17901889776889776,0.10445804195804197,0.29783757908757913,2631.016957460071,0.01652879839623567,0.4447975010408366,0.7927607039213214,0.9199188100263103
component_fixed_50,0.10000000149011612,0.042229545642858884,0.021813539270886674,280.0,19.04694264069264,280.0,21513.284183664302,0.0,0.0,0.09377081252081251,21996.176877812715,0.013241943626317247,0.9881645318602366,0.8003596375708676,0.947209643605843
component_fixed_50,0.20000000298023224,0.043443772798688496,0.022450035628277847,329.25,22.7845695970696,329.25,20041.23770435108,0.0,0.0,0.14873667998668,20508.805558995526,0.013562885332971002,0.9864242243915597,0.7931361637447442,0.9387903938018962
component_fixed_50,0.30000001192092896,0.044423628608223034,0.022966082546491802,343.5,24.24957334332334,343.25,18950.579139222034,0.007575757575757576,0.007575757575757576,0.14465742590742592,19405.46525765558,0.017417461340667406,0.9851868889013007,0.7643147088660652,0.9120711037851079
component_fixed_50,0.4000000059604645,0.04553725196089142,0.02355270848334433,369.75,25.600357975357973,369.5,17841.839948536937,0.007575757575757576,0.007575757575757576,0.16388819513819514,18283.913641319326,0.014790859989241841,0.9865902336347553,0.7855438517777151,0.9264772782502491
component_fixed_50,0.5,0.06367165462790693,0.03343863308145229,1908.25,128.00479728604728,1907.75,12244.330247433065,0.016504329004329004,0.007575757575757576,0.16251456876456877,12674.332566957375,0.002496647005551846,0.980998624337377,0.9495128349349242,0.9823517520401229
component_fixed_50,0.6000000238418579,0.16073931484328038,0.0917400376020281,780.5,55.22733516483517,780.0,4200.402345415587,0.016504329004329004,0.007575757575757576,0.18039252414252416,4617.3974180085015,0.009621673094692123,0.9154914341919138,0.8234433131267601,0.9399089327852038
component_fixed_50,0.699999988079071,0.19897848413107855,0.1169359087568535,627.25,44.559731934731936,626.0,3028.036481923916,0.0638944388944389,0.007575757575757576,0.24873043623043622,3427.434738723381,0.015535129216036109,0.7414904653306092,0.7747445932438745,0.9106489775750446
component_fixed_50,0.800000011920929,0.2364608671212916,0.14242704774501713,528.75,35.71954087579088,526.25,2225.0811063115766,0.10447885447885448,0.03708791208791209,0.27240467865467866,2605.2352536906938,0.022179725403551155,0.5485996120332189,0.7162373484059409,0.8806750036164791
component_fixed_50,0.8999999761581421,0.28183844798379976,0.17390662102308885,461.0,31.631826506826506,457.0,1501.9549921567836,0.15805028305028307,0.09065934065934066,0.4018897768897769,1853.5029041146795,0.026896050928862596,0.41351164204157287,0.7059850492879547,0.8773048910909945
component_natural_50,0.10000000149011612,0.09177437691543905,0.04928609612701046,349.75,24.806568431568433,349.75,9131.375028008166,0.0,0.0,0.1250208125208125,9614.09692508485,0.004029813785572159,0.990916133556232,0.9115561629332366,0.970129307426351
component_natural_50,0.20000000298023224,0.12366672820899068,0.06803626457233364,323.25,23.279834748584747,323.0,5993.642966535344,0.019230769230769232,0.0,0.09377081252081251,6448.549168211172,0.008438981870423325,0.8008045637656258,0.8300109216366562,0.9370439121248031
component_natural_50,0.30000001192092896,0.14297196411106186,0.07971736030621618,293.75,21.045152763902763,292.5,4703.55111358552,0.06254162504162504,0.008928571428571428,0.16388819513819514,5134.804001893563,0.011505315430463951,0.7753016632507244,0.8065528911496344,0.9097838127294284
component_natural_50,0.4000000059604645,0.1589551489357275,0.08954561833900114,300.0,22.118922743922745,298.5,3843.645131522848,0.07147019647019648,0.03573509823509824,0.17011113886113888,4251.242912537258,0.014286805713260187,0.6878026555440084,0.7688224205173357,0.894057666983626
