condition,case_id,source_origin,voxel_threshold,prediction_components,eligible_references,true_positives,false_positives,neutral_small,recall
component_fixed_50,coronacases_008,Coronacases,0.2,209,33,0,209,0,0.0
component_fixed_50,coronacases_008,Coronacases,0.3,227,33,1,226,0,0.030303030303030304
component_fixed_50,coronacases_008,Coronacases,0.4,268,33,1,267,0,0.030303030303030304
component_fixed_50,coronacases_008,Coronacases,0.5,1039,33,1,1038,0,0.030303030303030304
component_fixed_50,coronacases_008,Coronacases,0.6,561,33,1,560,0,0.030303030303030304
component_fixed_50,coronacases_008,Coronacases,0.7,461,33,1,460,0,0.030303030303030304
component_fixed_50,coronacases_008,Coronacases,0.8,401,33,4,397,0,0.12121212121212122
component_fixed_50,coronacases_008,Coronacases,0.85,391,33,4,386,1,0.12121212121212122
component_fixed_50,coronacases_008,Coronacases,0.9,361,33,4,357,0,0.12121212121212122
component_fixed_50,coronacases_008,Coronacases,0.925,330,33,5,325,0,0.15151515151515152
component_fixed_50,coronacases_008,Coronacases,0.95,313,33,5,308,0,0.15151515151515152
component_fixed_50,coronacases_008,Coronacases,0.96,306,33,6,300,0,0.18181818181818182
component_fixed_50,coronacases_008,Coronacases,0.97,303,33,6,297,0,0.18181818181818182
component_fixed_50,coronacases_008,Coronacases,0.98,266,33,7,259,0,0.21212121212121213
component_fixed_50,coronacases_008,Coronacases,0.985,252,33,9,243,0,0.2727272727272727
component_fixed_50,coronacases_008,Coronacases,0.99,243,33,11,232,0,0.3333333333333333
component_fixed_50,coronacases_008,Coronacases,0.9925,224,33,13,211,0,0.3939393939393939
component_fixed_50,coronacases_008,Coronacases,0.995,212,33,14,198,0,0.42424242424242425
component_fixed_50,coronacases_008,Coronacases,0.9975,225,33,17,208,0,0.5151515151515151
component_fixed_50,coronacases_008,Coronacases,0.999,174,33,19,155,0,0.5757575757575758
component_fixed_50,coronacases_008,Coronacases,0.9995,158,33,22,136,0,0.6666666666666666
component_fixed_50,coronacases_008,Coronacases,1.000001,0,33,0,0,0,0.0
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.1,181,28,0,181,0,0.0
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.2,246,28,0,246,0,0.0
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.3,198,28,0,198,0,0.0
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.4,206,28,0,206,0,0.0
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.5,1846,28,1,1845,0,0.03571428571428571
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.6,502,28,1,501,0,0.03571428571428571
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.7,427,28,2,425,0,0.07142857142857142
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.8,425,28,4,421,0,0.14285714285714285
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.85,385,28,9,376,0,0.32142857142857145
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.9,283,28,10,273,0,0.35714285714285715
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.925,273,28,11,262,0,0.39285714285714285
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.95,256,28,11,245,0,0.39285714285714285
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.96,243,28,11,232,0,0.39285714285714285
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.97,230,28,11,219,0,0.39285714285714285
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.98,246,28,12,234,0,0.42857142857142855
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.985,215,28,12,203,0,0.42857142857142855
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.99,197,28,12,185,0,0.42857142857142855
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.9925,199,28,12,187,0,0.42857142857142855
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.995,186,28,11,175,0,0.39285714285714285
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.9975,183,28,12,171,0,0.42857142857142855
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.999,166,28,6,160,0,0.21428571428571427
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,0.9995,157,28,3,154,0,0.10714285714285714
component_fixed_50,radiopaedia_14_85914_0,Radiopaedia,1.000001,0,28,0,0,0,0.0
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.1,546,13,0,546,0,0.0
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.2,660,13,0,660,0,0.0
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.3,740,13,0,740,0,0.0
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.4,805,13,0,805,0,0.0
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.5,3721,13,0,3721,0,0.0
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.6,1485,13,0,1485,0,0.0
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.7,1115,13,2,1113,0,0.15384615384615385
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.8,948,13,2,946,0,0.15384615384615385
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.85,1021,13,2,1019,0,0.15384615384615385
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.9,926,13,2,924,0,0.15384615384615385
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.925,823,13,2,821,0,0.15384615384615385
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.95,749,13,2,747,0,0.15384615384615385
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.96,706,13,3,703,0,0.23076923076923078
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.97,634,13,3,631,0,0.23076923076923078
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.98,595,13,3,592,0,0.23076923076923078
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.985,609,13,4,605,0,0.3076923076923077
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.99,544,13,5,539,0,0.38461538461538464
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.9925,514,13,7,507,0,0.5384615384615384
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.995,517,13,8,509,0,0.6153846153846154
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.9975,480,13,9,471,0,0.6923076923076923
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.999,453,13,12,441,0,0.9230769230769231
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,0.9995,420,13,11,409,0,0.8461538461538461
component_fixed_50,radiopaedia_27_86410_0,Radiopaedia,1.000001,0,13,0,0,0,0.0
