condition,case_id,source_origin,voxel_threshold,prediction_components,eligible_references,true_positives,false_positives,neutral_small,recall
complete,radiopaedia_27_86410_0,Radiopaedia,0.85,1298,13,2,1296,0,0.15384615384615385
complete,radiopaedia_27_86410_0,Radiopaedia,0.9,1209,13,2,1207,0,0.15384615384615385
complete,radiopaedia_27_86410_0,Radiopaedia,0.925,1167,13,2,1165,0,0.15384615384615385
complete,radiopaedia_27_86410_0,Radiopaedia,0.95,1111,13,3,1108,0,0.23076923076923078
complete,radiopaedia_27_86410_0,Radiopaedia,0.96,1132,13,3,1129,0,0.23076923076923078
complete,radiopaedia_27_86410_0,Radiopaedia,0.97,1084,13,3,1081,0,0.23076923076923078
complete,radiopaedia_27_86410_0,Radiopaedia,0.98,1062,13,3,1059,0,0.23076923076923078
complete,radiopaedia_27_86410_0,Radiopaedia,0.985,1019,13,3,1016,0,0.23076923076923078
complete,radiopaedia_27_86410_0,Radiopaedia,0.99,972,13,4,968,0,0.3076923076923077
complete,radiopaedia_27_86410_0,Radiopaedia,0.9925,948,13,7,941,0,0.5384615384615384
complete,radiopaedia_27_86410_0,Radiopaedia,0.995,901,13,9,892,0,0.6923076923076923
complete,radiopaedia_27_86410_0,Radiopaedia,0.9975,836,13,10,826,0,0.7692307692307693
complete,radiopaedia_27_86410_0,Radiopaedia,0.999,701,13,10,691,0,0.7692307692307693
complete,radiopaedia_27_86410_0,Radiopaedia,0.9995,568,13,11,557,0,0.8461538461538461
complete,radiopaedia_27_86410_0,Radiopaedia,1.000001,0,13,0,0,0,0.0
pixel_dropout_matched_50,coronacases_004,Coronacases,0.1,76,8,0,76,0,0.0
pixel_dropout_matched_50,coronacases_004,Coronacases,0.2,115,8,0,115,0,0.0
pixel_dropout_matched_50,coronacases_004,Coronacases,0.3,155,8,0,155,0,0.0
pixel_dropout_matched_50,coronacases_004,Coronacases,0.4,200,8,0,200,0,0.0
pixel_dropout_matched_50,coronacases_004,Coronacases,0.5,2336,8,0,2336,0,0.0
pixel_dropout_matched_50,coronacases_004,Coronacases,0.6,699,8,0,699,0,0.0
pixel_dropout_matched_50,coronacases_004,Coronacases,0.7,720,8,0,720,0,0.0
pixel_dropout_matched_50,coronacases_004,Coronacases,0.8,665,8,0,665,0,0.0
pixel_dropout_matched_50,coronacases_004,Coronacases,0.85,654,8,2,652,0,0.25
pixel_dropout_matched_50,coronacases_004,Coronacases,0.9,636,8,2,634,0,0.25
pixel_dropout_matched_50,coronacases_004,Coronacases,0.925,641,8,3,638,0,0.375
pixel_dropout_matched_50,coronacases_004,Coronacases,0.95,612,8,3,609,0,0.375
pixel_dropout_matched_50,coronacases_004,Coronacases,0.96,591,8,3,588,0,0.375
pixel_dropout_matched_50,coronacases_004,Coronacases,0.97,595,8,3,591,1,0.375
pixel_dropout_matched_50,coronacases_004,Coronacases,0.98,569,8,3,565,1,0.375
pixel_dropout_matched_50,coronacases_004,Coronacases,0.985,606,8,3,602,1,0.375
pixel_dropout_matched_50,coronacases_004,Coronacases,0.99,597,8,3,593,1,0.375
pixel_dropout_matched_50,coronacases_004,Coronacases,0.9925,615,8,4,610,1,0.5
pixel_dropout_matched_50,coronacases_004,Coronacases,0.995,612,8,4,606,2,0.5
pixel_dropout_matched_50,coronacases_004,Coronacases,0.9975,613,8,3,609,1,0.375
pixel_dropout_matched_50,coronacases_004,Coronacases,0.999,491,8,3,486,2,0.375
pixel_dropout_matched_50,coronacases_004,Coronacases,0.9995,390,8,4,384,2,0.5
pixel_dropout_matched_50,coronacases_004,Coronacases,1.000001,0,8,0,0,0,0.0
pixel_dropout_matched_50,coronacases_008,Coronacases,0.1,143,33,0,143,0,0.0
pixel_dropout_matched_50,coronacases_008,Coronacases,0.2,194,33,0,194,0,0.0
pixel_dropout_matched_50,coronacases_008,Coronacases,0.3,246,33,0,246,0,0.0
pixel_dropout_matched_50,coronacases_008,Coronacases,0.4,251,33,0,251,0,0.0
pixel_dropout_matched_50,coronacases_008,Coronacases,0.5,2342,33,1,2341,0,0.030303030303030304
pixel_dropout_matched_50,coronacases_008,Coronacases,0.6,738,33,2,736,0,0.06060606060606061
pixel_dropout_matched_50,coronacases_008,Coronacases,0.7,669,33,2,667,0,0.06060606060606061
pixel_dropout_matched_50,coronacases_008,Coronacases,0.8,675,33,6,669,0,0.18181818181818182
pixel_dropout_matched_50,coronacases_008,Coronacases,0.85,694,33,6,688,0,0.18181818181818182
pixel_dropout_matched_50,coronacases_008,Coronacases,0.9,744,33,8,736,0,0.24242424242424243
pixel_dropout_matched_50,coronacases_008,Coronacases,0.925,740,33,8,732,0,0.24242424242424243
pixel_dropout_matched_50,coronacases_008,Coronacases,0.95,701,33,11,690,0,0.3333333333333333
pixel_dropout_matched_50,coronacases_008,Coronacases,0.96,678,33,11,667,0,0.3333333333333333
pixel_dropout_matched_50,coronacases_008,Coronacases,0.97,677,33,15,662,0,0.45454545454545453
pixel_dropout_matched_50,coronacases_008,Coronacases,0.98,565,33,17,548,0,0.5151515151515151
pixel_dropout_matched_50,coronacases_008,Coronacases,0.985,515,33,17,498,0,0.5151515151515151
pixel_dropout_matched_50,coronacases_008,Coronacases,0.99,478,33,18,460,0,0.5454545454545454
pixel_dropout_matched_50,coronacases_008,Coronacases,0.9925,457,33,18,439,0,0.5454545454545454
pixel_dropout_matched_50,coronacases_008,Coronacases,0.995,424,33,19,405,0,0.5757575757575758
pixel_dropout_matched_50,coronacases_008,Coronacases,0.9975,350,33,22,328,0,0.6666666666666666
pixel_dropout_matched_50,coronacases_008,Coronacases,0.999,275,33,26,249,0,0.7878787878787878
pixel_dropout_matched_50,coronacases_008,Coronacases,0.9995,218,33,27,191,0,0.8181818181818182
pixel_dropout_matched_50,coronacases_008,Coronacases,1.000001,0,33,0,0,0,0.0
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.1,137,28,0,137,0,0.0
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.2,218,28,0,218,0,0.0
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.3,246,28,0,246,0,0.0
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.4,243,28,0,243,0,0.0
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.5,4080,28,0,4080,0,0.0
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.6,607,28,0,607,0,0.0
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.7,590,28,1,589,0,0.03571428571428571
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.8,587,28,4,583,0,0.14285714285714285
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.85,551,28,5,546,0,0.17857142857142858
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.9,591,28,6,585,0,0.21428571428571427
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.925,575,28,7,568,0,0.25
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.95,599,28,9,590,0,0.32142857142857145
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.96,615,28,10,604,1,0.35714285714285715
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.97,638,28,11,626,1,0.39285714285714285
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.98,596,28,12,583,1,0.42857142857142855
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.985,555,28,11,543,1,0.39285714285714285
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.99,473,28,13,459,1,0.4642857142857143
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.9925,446,28,15,430,1,0.5357142857142857
