condition,mean_dice_at_0p5,mean_iou_at_0p5,mean_fp_components_at_0p5,mean_fp_volume_ml_at_0p5,mean_any_overlap_component_recall,mean_iou_0p25_component_recall,mean_iou_0p10_component_recall_at_0p5,selected_score_threshold,actual_fp_per_patient,macro_R_at_1,pooled_R_at_1
complete,0.05285741523525375,0.027464658290961494,708.75,15276.959259878591,0.1116487678987679,0.007575757575757576,0.007575757575757576,inf,0.0,0.0,0.0
component_fixed_50,0.06367165462790693,0.03343863308145229,1907.75,12244.330247433065,0.16251456876456877,0.007575757575757576,0.016504329004329004,inf,0.0,0.0,0.0
component_natural_50,0.17272972085608196,0.09805453981867213,312.25,3191.92751335674,0.19417041292041293,0.059815184815184816,0.10447885447885448,0.807009220123291,0.5,0.04739010989010989,0.036585365853658534
pixel_dropout_matched_50,0.07735758938666465,0.040987186578359154,5099.5,9504.49013614785,0.13845529470529472,0.007575757575757576,0.007575757575757576,inf,0.0,0.0,0.0
