run_id,condition,seed,cache_version,epoch,epoch_1based,mean_loss,mean_partial_bce,mean_partial_dice,labelled_voxels_seen,foreground_voxels_seen,zero_label_microbatches,foreground_centered,background_centered,uniform_crop,optimizer_steps_total,epoch_seconds,peak_allocated_gb,peak_reserved_gb
gateb_v1_2_complete_seed17,complete,17,1.2,0,1,0.6620576715003699,0.3619193548243493,0.30013831615448,10808,6085,0,44,28,28,50,10.545594572999107,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,1,2,0.313835212495178,0.1483042598236352,0.1655309522151947,10217,5785,0,38,37,25,100,10.477492638001422,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,2,3,0.17698075155727566,0.08201200220151804,0.09496874988079071,10512,6125,0,51,23,26,150,10.175009325999781,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,3,4,0.13570983621990307,0.04611517086217645,0.08959466516971588,10767,5939,0,55,19,26,200,10.137716788000034,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,4,5,0.05124558036448434,0.022099130018032157,0.029146450161933898,10755,6019,0,49,27,24,250,10.048714902999563,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,5,6,0.0234782787761651,0.007212176960310898,0.01626610219478607,10841,6329,1,47,31,22,300,9.958884644998761,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,6,7,0.0217423783976119,0.006616954784985865,0.015125423073768615,10534,6010,0,45,26,29,350,10.076509289998285,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,7,8,0.06919287121738307,0.020725669567327715,0.04846720278263092,10480,5897,0,44,24,32,400,10.145327161999376,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,8,9,0.02512554337736219,0.006762904472125229,0.0183626389503479,11119,6425,0,54,24,22,450,10.133003876999283,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,9,10,0.07273162878409493,0.022129193888395092,0.05060243546962738,11116,6127,0,46,28,26,500,10.14665340099964,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,10,11,0.02974028300261125,0.017324272695259425,0.012416010499000549,10334,5890,0,49,20,31,550,10.147318432000247,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,11,12,0.046996492829057386,0.01977015783006209,0.027226334810256957,10367,6070,0,52,24,24,600,10.130858481999894,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,12,13,0.032075273188529534,0.01725304517225595,0.014822227954864502,10986,6337,0,49,26,25,650,10.13266164900051,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,13,14,0.03882001178222708,0.010836330050078686,0.027983681559562684,10614,6068,0,50,22,28,700,10.116587403999802,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,14,15,0.038634924297221006,0.005039381775713991,0.0335955411195755,10111,5939,0,52,20,28,750,10.118091833999642,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,15,16,0.0058633793773333305,0.002841383300619782,0.003021996021270752,11321,6320,0,45,32,23,800,10.136699934999342,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,16,17,0.0223398324430309,0.0012838660526358582,0.02105596661567688,10771,6178,1,49,31,20,850,10.127864905000024,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,17,18,0.023285866838596122,0.0017022612112850765,0.021583605408668518,10754,5881,0,45,29,26,900,10.158684423999148,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,18,19,0.06729316271550488,0.015042580495010043,0.05225058138370514,10176,5941,0,52,23,25,950,10.108566058001088,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,19,20,0.07622919934394304,0.034803970028806364,0.04142522931098938,10682,6289,0,50,23,27,1000,10.139056437999898,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,20,21,0.0865812875184929,0.019218066616231225,0.06736322104930878,10710,5858,1,48,26,26,1050,10.142847737999546,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,21,22,0.00814921273238724,0.004688404269309103,0.0034608083963394167,10895,6236,0,54,19,27,1100,10.123705818001326,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,22,23,0.008919492744134914,0.005137979203645955,0.0037815135717391966,11118,6560,1,51,22,27,1150,10.13938883300034,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,23,24,0.05345205785619328,0.01624158269361942,0.037210475802421566,10925,6246,1,51,19,30,1200,10.136180191999301,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,24,25,0.060210113588836975,0.019532117379421832,0.040677995681762696,10598,6391,1,60,17,23,1250,10.096746731998792,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,25,26,0.017484398759042962,0.0038289435852493624,0.013655455112457275,10395,5994,0,49,22,29,1300,10.130303052001182,0.9124717712402344,1.228515625
gateb_v1_2_complete_seed17,complete,17,1.2,26,27,0.013362324792833533,0.001916900725555024,0.01144542396068573,10869,6230,0,53,30,17,1350,10.127246928999739,0.9124717712402344,1.228515625
