condition,dice_at_0p5,best_diagnostic_threshold,best_diagnostic_macro_dice,dice_improvement_vs_0p5,best_diagnostic_any_overlap_recall,best_diagnostic_predicted_components,threshold_sensitive_heuristic
complete,0.05285741523525375,0.8999999761581421,0.2293138609920832,0.17645644575682945,0.29783757908757913,720.25,True
pixel_dropout_matched_50,0.07735758938666465,0.8999999761581421,0.2526608360508852,0.17530324666422054,0.35767357642357644,834.75,True
component_natural_50,0.17272972085608196,0.8999999761581421,0.2379108805178265,0.06518115966174454,0.5665896603396603,362.75,True
component_fixed_50,0.06367165462790693,0.8999999761581421,0.28183844798379976,0.21816679335589284,0.4018897768897769,461.0,True
