case_id,source_origin,condition,sampled_voxel_auc,balanced_brier,lesion_probability_mean,lesion_probability_median,lesion_probability_p90,background_probability_mean,background_probability_median,background_probability_p99,lesion_minus_background_mean,lesion_boundary_probability_mean,perilesional_background_probability_mean,far_background_probability_mean,lesion_fraction_ge_0p5,background_fraction_ge_0p5
coronacases_004,Coronacases,complete,0.9787821278,0.08418357465416193,0.9571235179901123,0.9996625781059265,0.9999967217445374,0.2295081466436386,0.003341622417792678,0.9961665272712708,0.7276153713464737,0.9553764462471008,0.560710608959198,0.22775685787200928,0.9713879274945738,0.29813456216104683
coronacases_004,Coronacases,pixel_dropout_matched_50,0.93965174325,0.11110631376504898,0.8657925128936768,0.9970463514328003,0.9999811053276062,0.22968649864196777,0.0057713366113603115,0.986542284488678,0.636106014251709,0.8603349328041077,0.45928600430488586,0.22847194969654083,0.884371150349035,0.19613605429388517
coronacases_004,Coronacases,component_natural_50,0.9689294640999999,0.0757435318082571,0.8263287544250488,0.9807980060577393,0.999518871307373,0.08358126133680344,0.0008386750123463571,0.9754160046577454,0.7427474930882454,0.8193565607070923,0.42268359661102295,0.08178795874118805,0.8503549011556285,0.05922401901268958
coronacases_004,Coronacases,component_fixed_50,0.9289036629499999,0.12028443068265915,0.8354043364524841,0.9954200387001038,0.9999502897262573,0.21306025981903076,0.0018633720465004444,0.9932131171226501,0.6223440766334534,0.8287020921707153,0.4337001442909241,0.21189343929290771,0.8511981580336716,0.2483540504170124
coronacases_008,Coronacases,complete,0.9579036721,0.09915778040885925,0.9056843519210815,0.9993888735771179,0.9999933242797852,0.2171461135149002,0.0011007706634700298,0.9912784099578857,0.6885382384061813,0.8862096667289734,0.47651591897010803,0.21368162333965302,0.9182795621059034,0.28068253389695885
coronacases_008,Coronacases,pixel_dropout_matched_50,0.94014023395,0.10852804407477379,0.8560069799423218,0.9942587018013,0.99994957447052,0.21279610693454742,0.0016683933790773153,0.9692841172218323,0.6432108730077744,0.8295822739601135,0.48237016797065735,0.20919457077980042,0.8767857110528974,0.16863616649236782
coronacases_008,Coronacases,component_natural_50,0.9525049689,0.10690198466181755,0.7499392032623291,0.9412835240364075,0.9996525645256042,0.08642075955867767,0.00010329552605981007,0.9579784870147705,0.6635184437036514,0.725450336933136,0.3796077370643616,0.08250417560338974,0.7651958556839515,0.061779621304222876
coronacases_008,Coronacases,component_fixed_50,0.9427000382999999,0.10706852003931999,0.860025942325592,0.9974938035011292,0.9999862909317017,0.1973162591457367,0.0007434731815010309,0.9793940782546997,0.6627096831798553,0.8314282298088074,0.42465391755104065,0.1942792385816574,0.873887296762502,0.23040340792173897
radiopaedia_14_85914_0,Radiopaedia,complete,0.7675700685,0.22624081373214722,0.7177693843841553,0.9731199741363525,0.9998796582221985,0.39180171489715576,0.5010044574737549,0.9947154521942139,0.3259676694869995,0.6781527400016785,0.4263300597667694,0.3898932933807373,0.7310167275973474,0.5060985032791265
radiopaedia_14_85914_0,Radiopaedia,pixel_dropout_matched_50,0.7079781277499999,0.24825626611709595,0.643463134765625,0.8350487947463989,0.9987120032310486,0.398401141166687,0.49341320991516113,0.9800727963447571,0.245061993598938,0.6074962019920349,0.3896315395832062,0.39888641238212585,0.663952240265261,0.28349223717737804
radiopaedia_14_85914_0,Radiopaedia,component_natural_50,0.8331387090499999,0.1807951144874096,0.6123358607292175,0.7439237236976624,0.9975199103355408,0.13772012293338776,0.05069248378276825,0.984455943107605,0.4746157377958298,0.5619031190872192,0.2760700583457947,0.13007119297981262,0.6293634515105141,0.09064480812334576
radiopaedia_14_85914_0,Radiopaedia,component_fixed_50,0.77446795105,0.21337079256772995,0.7068262696266174,0.9521174430847168,0.9996902346611023,0.35826578736305237,0.4893425703048706,0.9848814010620117,0.34856048226356506,0.6597163677215576,0.3877270221710205,0.356637179851532,0.7234978107464717,0.37967306107978094
radiopaedia_27_86410_0,Radiopaedia,complete,0.8812163096499999,0.16269413381814957,0.8271684646606445,0.9935911297798157,0.999947190284729,0.31245607137680054,0.27191683650016785,0.9981704950332642,0.514712393283844,0.7500261664390564,0.4677577018737793,0.3112749755382538,0.8426168314080154,0.37324366921424634
radiopaedia_27_86410_0,Radiopaedia,pixel_dropout_matched_50,0.8187390106,0.1927148625254631,0.7375968098640442,0.9483095407485962,0.9995957016944885,0.3334283232688904,0.410409539937973,0.9944718480110168,0.4041684865951538,0.662808358669281,0.40921977162361145,0.33285245299339294,0.7603502283277352,0.24152587176626808
radiopaedia_27_86410_0,Radiopaedia,component_natural_50,0.9016833171,0.1375504843890667,0.6881118416786194,0.8334910869598389,0.9981250762939453,0.11802972853183746,0.03112105093896389,0.9863777160644531,0.5700821131467819,0.6165241003036499,0.3239864706993103,0.11646395176649094,0.7235570407627622,0.08278283456029631
radiopaedia_27_86410_0,Radiopaedia,component_fixed_50,0.85516322845,0.17261172831058502,0.7796436548233032,0.9863408207893372,0.9996800422668457,0.29347699880599976,0.24073223769664764,0.9957022070884705,0.48616665601730347,0.689776599407196,0.40836355090141296,0.2926039695739746,0.7939149200424062,0.30070259987161024
