condition,patches,labelled_voxels_seen,foreground_voxels_seen,background_voxels_seen,zero_label_patches,foreground_centered,background_centered,uniform_crop,available_fg_groups,seen_fg_groups,group_presence_events,mean_labels_per_patch,mean_fg_per_patch,mean_bg_per_patch,fg_to_bg_seen_ratio,group_coverage_fraction
complete,3000,321671,183731,137940,6,1473,748,779,82,82,23427,107.22366666666667,61.24366666666667,45.98,1.3319631723937944,1.0
component_fixed_50,3000,293494,156353,137141,13,1473,748,779,42,42,12274,97.83133333333333,52.117666666666665,45.71366666666667,1.1400893970439183,1.0
component_natural_50,3000,226974,89750,137224,19,1473,748,779,42,42,11997,75.658,29.916666666666668,45.74133333333333,0.6540401096018189,1.0
pixel_dropout_matched_50,3000,227173,88205,138968,6,1473,748,779,82,82,23374,75.72433333333333,29.401666666666667,46.32266666666667,0.634714466639802,1.0
